Datetime,S-COIN+
2025-10-21 00:00:00,-0.2010664583769565
2025-10-21 00:05:00,-0.4428164855337883
2025-10-21 00:10:00,-0.8161909429013041
2025-10-21 00:15:00,1.992239557038698
2025-10-21 00:20:00,1.580137730615698
2025-10-21 00:25:00,2.4597785302491615
2025-10-21 00:30:00,2.441445228300168
2025-10-21 00:35:00,2.6429402221674474
2025-10-21 00:40:00,3.4544591980069095
2025-10-21 00:45:00,3.755310879248841
2025-10-21 00:50:00,3.9660938084890422
2025-10-21 00:55:00,3.4728047672933178
2025-10-21 01:00:00,3.6797900269236297
2025-10-21 01:05:00,3.477004475473375
2025-10-21 01:10:00,3.3241982203961697
2025-10-21 01:15:00,3.0292271712573164
2025-10-21 01:20:00,3.7560741932970436
2025-10-21 01:25:00,3.45926367096647
2025-10-21 01:30:00,3.9668411097553635
2025-10-21 01:35:00,4.273879952508025
2025-10-21 01:40:00,4.24185411524089
2025-10-21 01:45:00,4.301213045464141
2025-10-21 01:50:00,4.481775328834894
2025-10-21 01:55:00,4.393651755945593
2025-10-21 02:00:00,4.4388627702231505
2025-10-21 02:05:00,4.600175107787672
2025-10-21 02:10:00,4.541601625479484
2025-10-21 02:15:00,4.095147481286893
2025-10-21 02:20:00,4.013127714431175
2025-10-21 02:25:00,3.736238448485624
2025-10-21 02:30:00,3.8580860126102596
